product_id,creator_id,status,name,note,description_list,description_detail,search_word,free_area,del_flg,create_date,update_date
3452,2,1,内金,,,,,,0,"2017-04-27 11:15:56","2019-10-03 10:45:51"
3453,2,1,テスト,,,テストテストテストテスト,,,0,"2017-08-02 18:22:56","2017-08-02 18:26:27"
3454,2,2,testst,,,asfdg,,,1,"2018-07-17 18:46:57","2018-07-17 18:46:57"
3456,2,1,testtttttt,nothing,"nothing here","nothing more2233",,,0,"2018-07-18 11:54:33","2018-07-18 17:29:32"
3457,2,1,testtttttt,nothing,"nothing here","nothing more",,,1,"2018-07-18 11:55:04","2018-07-18 11:55:26"
3469,2,1,testtttttt,nothing,"nothing here","nothing more2233",,,0,"2018-07-19 10:54:29","2018-07-19 10:54:29"
3470,2,1,testtttttt,nothing,"nothing here","nothing more2233",,,0,"2018-07-19 10:54:52","2018-07-19 10:54:52"
3471,2,1,testtttttt,nothing,"nothing here","nothing more2233",,,0,"2018-07-19 11:49:00","2018-07-19 11:49:00"
3475,2,1,testtttttt,nothing,"nothing here","nothing more2233",,,0,"2018-07-19 11:52:08","2018-07-19 11:52:08"
3476,2,1,testtttttt,nothing,"nothing here","nothing more2233",,,0,"2018-07-19 12:01:59","2018-07-19 12:01:59"
3477,2,1,testtttttt,nothing,"nothing here","nothing more2233",,,0,"2018-07-19 12:02:24","2018-07-19 12:02:24"
3480,2,1,testtttttt,nothing,"nothing here","nothing more2233",,,0,"2018-07-19 12:08:02","2018-07-19 12:08:02"
3481,2,1,test222,hihi,haha,hoho,,,0,"2018-07-19 12:08:02","2018-07-19 12:08:02"
3482,2,1,111testtttttt,nothing,"nothing here","nothing more2233",,,0,"2018-07-19 13:05:41","2018-08-30 18:48:44"
3483,2,1,test111,hihi,haha,hoho,,,0,"2018-07-19 13:05:42","2021-05-27 15:18:12"
3484,2,1,上書き3,上書き,上書き,,,,0,"2018-07-20 10:56:27","2018-07-23 11:01:08"
3485,2,1,xinhtest,hihi,haha,hoho,,,0,"2018-07-20 10:56:27","2018-08-30 18:45:43"
3486,2,1,単衣訪問着［ピンク地に草花］,,柔らかな生地はピンク色からミントグリーンとパープルへ染められ涼やかな雰囲気の中に赤やオレンジで描かれた花が全体を華やかといたします。結婚式参列やパーティ、お食事会などへお召し頂ける訪問着でございます。（169ｃｍ）,柔らかな生地はピンク色からミントグリーンとパープルへ染められ涼やかな雰囲気の中に赤やオレンジで描かれた花が全体を華やかといたします。結婚式参列やパーティ、お食事会などへお召し頂ける訪問着でございます。（169ｃｍ）,"i-nh375,池袋,着物,きもの,レンタル,単衣",,0,"2018-07-23 12:49:30","2018-07-23 12:49:30"
3491,2,1,"【浴衣着付け体験＆SHIBUYA SKY入場券セットプラン】＋ゆかた",,柔らかな生地はピンク色からミントグリーンとパープルへ染められ涼やかな雰囲気の中に赤やオレンジで描かれた花が全体を華やかといたします。結婚式参列やパーティ、お食事会などへお召し頂ける訪問着でございます。（169ｃｍ）,柔らかな生地はピンク色からミントグリーンとパープルへ染められ涼やかな雰囲気の中に赤やオレンジで描かれた花が全体を華やかといたします。結婚式参列やパーティ、お食事会などへお召し頂ける訪問着でございます。（169ｃｍ）,"i-nh375,池袋,着物,きもの,レンタル,単衣",,1,"2018-07-23 12:53:50","2023-08-11 13:30:22"
3492,2,1,ゆかた［SOU・SOU］大輪の花々,,紺と白と金の上品な色使いで描かれた大輪の花々がとても華やかでとても目を惹く1点です。今回は上品に笹のような涼し気な縞柄の帯で柄尽くしとしました。,紺と白と金の上品な色使いで描かれた大輪の花々がとても華やかでとても目を惹く1点です。今回は上品に笹のような涼し気な縞柄の帯で柄尽くしとしました。,"i-yw540,池袋,着物,きもの,レンタル,浴衣,女性用",,0,"2018-07-23 12:53:50","2018-07-23 12:53:50"
3493,2,1,0830単衣訪問着［ピンク地に草花］,,柔らかな生地はピンク色からミントグリーンとパープルへ染められ涼やかな雰囲気の中に赤やオレンジで描かれた花が全体を華やかといたします。結婚式参列やパーティ、お食事会などへお召し頂ける訪問着でございます。（169ｃｍ）,柔らかな生地はピンク色からミントグリーンとパープルへ染められ涼やかな雰囲気の中に赤やオレンジで描かれた花が全体を華やかといたします。結婚式参列やパーティ、お食事会などへお召し頂ける訪問着でございます。（169ｃｍ）,"i-nh375,池袋,着物,きもの,レンタル,単衣",,1,"2018-08-30 18:48:53","2018-08-30 18:53:51"
3494,2,1,0830単衣訪問着［ピンク地に草花］,,柔らかな生地はピンク色からミントグリーンとパープルへ染められ涼やかな雰囲気の中に赤やオレンジで描かれた花が全体を華やかといたします。結婚式参列やパーティ、お食事会などへお召し頂ける訪問着でございます。（169ｃｍ）,柔らかな生地はピンク色からミントグリーンとパープルへ染められ涼やかな雰囲気の中に赤やオレンジで描かれた花が全体を華やかといたします。結婚式参列やパーティ、お食事会などへお召し頂ける訪問着でございます。（169ｃｍ）,"i-nh375,池袋,着物,きもの,レンタル,単衣",,0,"2018-08-30 18:50:07","2018-08-30 18:50:07"
