plg_point_customer_id,plg_point_current,customer_id,create_date,update_date
82,0,2656,"2017-08-25 16:47:45","2017-08-25 16:47:45"
83,0,2656,"2017-08-25 16:51:09","2017-08-25 16:51:09"
84,0,2656,"2017-08-25 16:53:23","2017-08-25 16:53:23"
85,0,2656,"2017-08-25 16:55:03","2017-08-25 16:55:03"
86,0,2656,"2017-08-25 17:34:56","2017-08-25 17:34:56"
87,0,2656,"2017-08-25 17:47:06","2017-08-25 17:47:06"
88,0,2656,"2017-08-25 18:03:52","2017-08-25 18:03:52"
89,0,2656,"2017-08-25 18:05:05","2017-08-25 18:05:05"
90,0,2656,"2017-08-25 18:16:09","2017-08-25 18:16:09"
91,0,2656,"2017-08-25 18:27:34","2017-08-25 18:27:34"
92,0,2656,"2017-08-25 18:34:14","2017-08-25 18:34:14"
93,0,2657,"2017-08-25 18:38:05","2017-08-25 18:38:05"
94,0,2657,"2017-08-25 18:39:15","2017-08-25 18:39:15"
95,0,2656,"2017-08-25 18:39:41","2017-08-25 18:39:41"
96,0,2656,"2017-08-25 18:46:18","2017-08-25 18:46:18"
97,0,2656,"2017-08-25 18:57:27","2017-08-25 18:57:27"
98,0,2656,"2017-08-25 19:14:45","2017-08-25 19:14:45"
99,0,2656,"2017-08-25 19:17:55","2017-08-25 19:17:55"
100,0,2656,"2017-08-25 19:20:14","2017-08-25 19:20:14"
101,0,2657,"2017-08-28 12:15:56","2017-08-28 12:15:56"
102,0,2657,"2017-08-28 12:18:37","2017-08-28 12:18:37"
103,0,2656,"2017-08-28 14:02:37","2017-08-28 14:02:37"
104,0,2656,"2017-08-28 14:18:32","2017-08-28 14:18:32"
105,0,2656,"2017-08-28 16:25:02","2017-08-28 16:25:02"
106,0,2656,"2017-08-28 16:26:17","2017-08-28 16:26:17"
107,0,2656,"2017-08-29 14:12:50","2017-08-29 14:12:50"
108,0,2656,"2017-08-29 15:56:02","2017-08-29 15:56:02"
109,0,2656,"2017-08-29 16:26:04","2017-08-29 16:26:04"
150,0,2656,"2017-08-30 15:16:53","2017-08-30 15:16:53"
151,0,2656,"2017-08-30 15:26:26","2017-08-30 15:26:26"
152,0,2656,"2017-08-30 15:37:07","2017-08-30 15:37:07"
155,0,2656,"2017-08-30 16:16:20","2017-08-30 16:16:20"
156,0,2656,"2017-08-30 19:28:50","2017-08-30 19:28:50"
157,0,2656,"2017-08-30 19:30:36","2017-08-30 19:30:36"
158,0,2656,"2017-08-30 19:32:12","2017-08-30 19:32:12"
159,0,2656,"2017-08-30 19:34:07","2017-08-30 19:34:07"
160,0,2656,"2017-08-31 15:57:29","2017-08-31 15:57:29"
161,0,2656,"2017-08-31 16:49:19","2017-08-31 16:49:19"
162,0,2656,"2017-08-31 16:56:41","2017-08-31 16:56:41"
175,0,2656,"2017-08-31 18:59:02","2017-08-31 18:59:02"
176,0,2656,"2017-09-01 14:26:07","2017-09-01 14:26:07"
177,0,2656,"2017-09-01 15:06:54","2017-09-01 15:06:54"
178,0,2656,"2017-09-01 15:55:31","2017-09-01 15:55:31"
179,0,2656,"2017-09-01 18:24:17","2017-09-01 18:24:17"
180,0,2657,"2017-09-01 18:35:42","2017-09-01 18:35:42"
181,0,2657,"2017-09-01 18:46:52","2017-09-01 18:46:52"
182,0,2657,"2017-09-01 18:54:55","2017-09-01 18:54:55"
183,1000,2654,"2017-09-01 19:10:57","2017-09-01 19:10:57"
184,1000,2654,"2017-09-01 19:26:19","2017-09-01 19:26:19"
185,0,2656,"2017-09-04 14:15:34","2017-09-04 14:15:34"
186,1000,2654,"2017-09-04 18:51:06","2017-09-04 18:51:06"
187,1000,2654,"2017-09-04 18:55:12","2017-09-04 18:55:12"
188,0,2656,"2017-09-05 16:25:44","2017-09-05 16:25:44"
189,0,2656,"2017-09-05 16:51:13","2017-09-05 16:51:13"
190,0,2656,"2017-09-05 16:53:05","2017-09-05 16:53:05"
193,0,2656,"2017-09-05 18:50:43","2017-09-05 18:50:43"
194,0,2656,"2017-09-05 18:54:01","2017-09-05 18:54:01"
195,0,2656,"2017-09-06 16:20:50","2017-09-06 16:20:50"
196,0,2656,"2017-09-06 16:24:27","2017-09-06 16:24:27"
197,0,2656,"2017-09-06 17:53:42","2017-09-06 17:53:42"
198,0,2656,"2017-09-06 17:57:57","2017-09-06 17:57:57"
199,0,2656,"2017-09-06 18:06:12","2017-09-06 18:06:12"
200,0,2656,"2017-09-07 14:07:46","2017-09-07 14:07:46"
201,0,2656,"2017-09-07 14:16:26","2017-09-07 14:16:26"
202,0,2656,"2017-09-07 14:18:22","2017-09-07 14:18:22"
203,0,2656,"2017-09-07 14:39:06","2017-09-07 14:39:06"
204,0,2656,"2017-09-07 14:55:26","2017-09-07 14:55:26"
205,0,2656,"2017-09-07 15:33:53","2017-09-07 15:33:53"
206,0,2656,"2017-09-07 16:48:42","2017-09-07 16:48:42"
207,0,2656,"2017-09-07 16:52:20","2017-09-07 16:52:20"
208,0,2656,"2017-09-07 18:54:44","2017-09-07 18:54:44"
209,0,2656,"2017-09-20 15:11:07","2017-09-20 15:11:07"
210,0,2656,"2017-09-20 15:12:15","2017-09-20 15:12:15"
211,0,2657,"2017-09-20 15:15:56","2017-09-20 15:15:56"
212,0,2657,"2017-09-20 15:20:47","2017-09-20 15:20:47"
213,0,2657,"2017-09-20 15:27:21","2017-09-20 15:27:21"
214,0,2657,"2017-09-21 15:18:45","2017-09-21 15:18:45"
215,0,2657,"2017-09-21 15:53:29","2017-09-21 15:53:29"
216,0,2657,"2017-09-21 17:20:28","2017-09-21 17:20:28"
217,0,2657,"2017-09-22 12:10:17","2017-09-22 12:10:17"
218,0,2657,"2017-09-26 11:12:59","2017-09-26 11:12:59"
219,0,2657,"2017-09-26 11:54:14","2017-09-26 11:54:14"
220,0,2656,"2017-09-26 15:00:08","2017-09-26 15:00:08"
221,0,2656,"2017-09-26 15:09:07","2017-09-26 15:09:07"
222,0,2657,"2017-09-26 15:31:59","2017-09-26 15:31:59"
223,0,2657,"2017-09-26 15:36:30","2017-09-26 15:36:30"
224,0,2656,"2017-09-26 15:40:25","2017-09-26 15:40:25"
225,0,2656,"2017-09-26 15:43:41","2017-09-26 15:43:41"
226,0,2656,"2017-09-26 15:52:22","2017-09-26 15:52:22"
227,0,2656,"2017-09-26 15:57:17","2017-09-26 15:57:17"
228,0,2656,"2017-09-26 15:59:57","2017-09-26 15:59:57"
229,0,2656,"2017-09-26 16:01:26","2017-09-26 16:01:26"
230,0,2656,"2017-09-26 16:19:53","2017-09-26 16:19:53"
231,0,2656,"2017-09-26 16:29:42","2017-09-26 16:29:42"
232,0,2656,"2017-09-26 16:39:05","2017-09-26 16:39:05"
233,0,2656,"2017-09-26 16:41:36","2017-09-26 16:41:36"
234,0,2657,"2017-09-26 17:01:37","2017-09-26 17:01:37"
235,0,2657,"2017-09-26 17:05:38","2017-09-26 17:05:38"
236,0,2656,"2017-09-26 17:17:54","2017-09-26 17:17:54"
237,0,2656,"2017-09-26 17:20:58","2017-09-26 17:20:58"
238,0,2656,"2017-09-26 17:32:23","2017-09-26 17:32:23"
239,0,2656,"2017-09-26 17:34:02","2017-09-26 17:34:02"
240,0,2656,"2017-09-26 17:36:50","2017-09-26 17:36:50"
242,0,2656,"2017-09-26 17:46:01","2017-09-26 17:46:01"
243,0,2656,"2017-09-26 17:47:01","2017-09-26 17:47:01"
244,0,2656,"2017-09-26 17:49:40","2017-09-26 17:49:40"
245,0,2656,"2017-09-26 18:07:59","2017-09-26 18:07:59"
246,0,2656,"2017-09-26 18:10:48","2017-09-26 18:10:48"
247,0,2656,"2017-09-26 18:11:53","2017-09-26 18:11:53"
248,0,2656,"2017-09-26 18:12:50","2017-09-26 18:12:50"
249,0,2657,"2017-09-26 18:17:10","2017-09-26 18:17:10"
250,0,2657,"2017-09-26 18:22:25","2017-09-26 18:22:25"
251,0,2656,"2017-09-26 18:27:27","2017-09-26 18:27:27"
252,0,2657,"2017-09-26 18:29:46","2017-09-26 18:29:46"
253,0,2657,"2017-09-26 18:32:37","2017-09-26 18:32:37"
254,0,2656,"2017-09-26 18:33:57","2017-09-26 18:33:57"
255,0,2656,"2017-09-26 19:00:00","2017-09-26 19:00:00"
256,0,2656,"2017-09-26 19:01:57","2017-09-26 19:01:57"
257,0,2656,"2017-09-26 19:05:04","2017-09-26 19:05:04"
258,0,2656,"2017-09-26 19:09:21","2017-09-26 19:09:21"
259,0,2656,"2017-09-26 19:13:34","2017-09-26 19:13:34"
260,0,2656,"2017-09-27 14:49:33","2017-09-27 14:49:33"
261,0,2656,"2017-09-27 14:57:42","2017-09-27 14:57:42"
262,0,2656,"2017-09-27 15:03:14","2017-09-27 15:03:14"
263,0,2656,"2017-09-27 15:11:42","2017-09-27 15:11:42"
264,0,2656,"2017-09-27 15:14:01","2017-09-27 15:14:01"
265,0,2656,"2017-09-27 15:15:23","2017-09-27 15:15:23"
266,0,2657,"2017-10-02 19:18:05","2017-10-02 19:18:05"
267,0,2657,"2017-10-02 19:26:55","2017-10-02 19:26:55"
268,0,2657,"2017-10-02 19:43:09","2017-10-02 19:43:09"
269,0,2657,"2017-10-03 15:55:15","2017-10-03 15:55:15"
270,0,2657,"2017-10-04 10:47:34","2017-10-04 10:47:34"
271,0,2656,"2017-10-04 11:19:35","2017-10-04 11:19:35"
272,0,2656,"2017-10-04 11:24:06","2017-10-04 11:24:06"
273,0,2656,"2017-10-06 15:06:54","2017-10-06 15:06:54"
274,0,2656,"2017-10-06 15:09:19","2017-10-06 15:09:19"
275,0,2656,"2017-10-06 15:11:28","2017-10-06 15:11:28"
276,0,2656,"2017-10-06 17:10:10","2017-10-06 17:10:10"
277,0,2656,"2017-10-06 17:12:08","2017-10-06 17:12:08"
278,0,2656,"2017-10-06 17:37:38","2017-10-06 17:37:38"
279,0,2656,"2017-10-06 18:14:11","2017-10-06 18:14:11"
280,0,2656,"2017-10-11 14:14:49","2017-10-11 14:14:49"
281,0,2656,"2017-10-11 14:33:31","2017-10-11 14:33:31"
282,0,2656,"2017-10-11 14:37:09","2017-10-11 14:37:09"
283,0,2656,"2017-10-11 15:45:07","2017-10-11 15:45:07"
284,0,2657,"2017-10-11 16:06:27","2017-10-11 16:06:27"
285,0,2656,"2017-10-11 17:43:39","2017-10-11 17:43:39"
286,0,2657,"2017-10-11 18:30:45","2017-10-11 18:30:45"
287,0,2657,"2017-10-12 11:13:01","2017-10-12 11:13:01"
288,0,2657,"2017-10-12 12:32:49","2017-10-12 12:32:49"
289,0,2656,"2018-02-07 15:51:54","2018-02-07 15:51:54"
290,200,2657,"2018-02-08 14:59:02","2018-02-08 14:59:02"
291,100,2657,"2018-02-08 15:02:34","2018-02-08 15:02:34"
292,99,2657,"2018-02-08 15:16:24","2018-02-08 15:16:24"
293,99,2657,"2018-02-08 15:29:13","2018-02-08 15:29:13"
294,99,2657,"2018-02-08 15:32:41","2018-02-08 15:32:41"
295,98,2657,"2018-02-09 17:38:36","2018-02-09 17:38:36"
296,97,2657,"2018-02-09 18:09:33","2018-02-09 18:09:33"
297,0,2661,"2018-02-14 11:57:09","2018-02-14 11:57:09"
298,0,2661,"2018-02-14 11:58:41","2018-02-14 11:58:41"
299,96,2657,"2018-02-22 12:55:12","2018-02-22 12:55:12"
300,96,2657,"2018-02-22 13:03:59","2018-02-22 13:03:59"
301,96,2657,"2018-02-23 14:12:59","2018-02-23 14:12:59"
302,96,2657,"2018-02-23 14:20:04","2018-02-23 14:20:04"
303,96,2657,"2018-03-06 17:49:00","2018-03-06 17:49:00"
304,0,2662,"2018-07-13 13:02:12","2018-07-13 13:02:12"
305,0,2660,"2018-10-10 12:11:39","2018-10-10 12:11:39"
306,0,2660,"2018-10-10 12:31:01","2018-10-10 12:31:01"
307,0,2660,"2018-10-10 12:40:58","2018-10-10 12:40:58"
308,0,2663,"2018-10-10 13:07:53","2018-10-10 13:07:53"
309,0,2660,"2018-10-10 13:19:34","2018-10-10 13:19:34"
310,0,2660,"2018-10-10 16:02:32","2018-10-10 16:02:32"
311,0,2660,"2018-10-15 11:33:16","2018-10-15 11:33:16"
312,0,2660,"2018-10-15 11:37:48","2018-10-15 11:37:48"
313,0,2656,"2019-03-28 11:35:07","2019-03-28 11:35:07"
314,0,2660,"2019-03-28 18:40:00","2019-03-28 18:40:00"
315,0,2666,"2019-04-01 17:22:30","2019-04-01 17:22:30"
316,0,2667,"2019-04-01 17:41:48","2019-04-01 17:41:48"
317,0,2633,"2019-04-03 13:32:14","2019-04-03 13:32:14"
318,0,2660,"2019-04-18 10:09:19","2019-04-18 10:09:19"
319,0,2656,"2019-04-24 10:38:09","2019-04-24 10:38:09"
320,0,78,"2019-05-10 18:21:38","2019-05-10 18:21:38"
321,0,78,"2019-05-10 18:22:20","2019-05-10 18:22:20"
322,0,2656,"2019-05-13 10:04:29","2019-05-13 10:04:29"
323,0,2656,"2019-05-13 10:12:37","2019-05-13 10:12:37"
324,0,2656,"2019-05-13 10:25:10","2019-05-13 10:25:10"
325,0,2633,"2019-05-23 13:41:56","2019-05-23 13:41:56"
326,0,2633,"2019-05-23 14:10:42","2019-05-23 14:10:42"
327,972,2633,"2019-05-23 14:12:07","2019-05-23 14:12:07"
328,972,2633,"2019-05-23 14:21:14","2019-05-23 14:21:14"
329,972,2633,"2019-05-27 17:35:52","2019-05-27 17:35:52"
330,972,2633,"2019-05-27 18:09:44","2019-05-27 18:09:44"
331,972,2633,"2019-05-27 18:12:25","2019-05-27 18:12:25"
332,972,2633,"2019-05-27 18:40:39","2019-05-27 18:40:39"
333,0,2668,"2019-06-18 10:13:47","2019-06-18 10:13:47"
334,0,2669,"2019-06-19 14:14:10","2019-06-19 14:14:10"
335,0,2669,"2019-06-20 17:39:30","2019-06-20 17:39:30"
336,0,2669,"2019-06-20 17:50:41","2019-06-20 17:50:41"
337,0,2656,"2019-06-22 12:27:15","2019-06-22 12:27:15"
338,0,78,"2019-06-22 12:29:11","2019-06-22 12:29:11"
339,972,2633,"2019-06-24 10:33:56","2019-06-24 10:33:56"
340,972,2633,"2019-06-24 11:16:42","2019-06-24 11:16:42"
341,972,2633,"2019-06-24 11:22:24","2019-06-24 11:22:24"
342,0,2669,"2019-06-25 11:30:34","2019-06-25 11:30:34"
343,0,2669,"2019-06-25 11:47:07","2019-06-25 11:47:07"
344,0,2669,"2019-06-25 11:52:49","2019-06-25 11:52:49"
345,972,2633,"2019-06-25 12:02:29","2019-06-25 12:02:29"
346,0,2669,"2019-06-25 17:22:10","2019-06-25 17:22:10"
347,972,2633,"2019-06-25 18:26:33","2019-06-25 18:26:33"
348,972,2633,"2019-06-27 13:28:29","2019-06-27 13:28:29"
349,972,2633,"2019-06-27 13:33:13","2019-06-27 13:33:13"
350,972,2633,"2019-06-27 13:34:30","2019-06-27 13:34:30"
351,972,2633,"2019-06-27 14:47:20","2019-06-27 14:47:20"
352,972,2633,"2019-06-27 14:58:17","2019-06-27 14:58:17"
353,972,2633,"2019-06-27 15:14:11","2019-06-27 15:14:11"
354,0,2669,"2019-06-27 16:36:57","2019-06-27 16:36:57"
355,0,2669,"2019-06-27 16:40:12","2019-06-27 16:40:12"
356,0,2669,"2019-06-27 16:42:39","2019-06-27 16:42:39"
357,0,2656,"2019-06-27 18:21:42","2019-06-27 18:21:42"
358,0,2656,"2019-06-27 18:26:19","2019-06-27 18:26:19"
359,0,2656,"2019-07-04 12:45:30","2019-07-04 12:45:30"
360,0,2656,"2019-07-04 12:46:47","2019-07-04 12:46:47"
361,972,2633,"2019-07-09 12:32:55","2019-07-09 12:32:55"
