page_id,target_id,block_id,block_row,anywhere
94,4,30,2,0
95,2,32,1,0
95,3,46,1,0
95,4,21,3,0
95,4,23,4,0
95,4,25,5,0
95,4,27,1,0
95,4,30,2,0
96,2,32,1,0
96,3,46,1,0
96,4,21,3,0
96,4,23,4,0
96,4,25,5,0
96,4,27,1,0
96,4,30,2,0
97,2,11,1,0
97,3,46,1,0
97,4,21,3,0
97,4,23,4,0
97,4,25,5,0
97,4,27,1,0
97,4,30,2,0
98,2,32,1,0
98,4,21,3,0
98,4,23,4,0
98,4,25,5,0
98,4,27,1,0
98,4,30,2,0
99,2,11,1,0
99,3,46,1,0
99,4,21,3,0
99,4,23,4,0
99,4,25,5,0
99,4,27,1,0
99,4,30,2,0
100,2,34,1,0
100,3,16,1,0
100,3,37,2,0
100,4,25,2,0
100,4,39,1,0
101,2,34,1,0
101,3,16,1,0
101,4,25,1,0
102,2,34,1,0
102,3,16,1,0
102,4,25,1,0
104,2,34,1,0
104,3,16,1,0
104,4,25,1,0
105,2,34,1,0
105,3,16,1,0
105,4,25,1,0
106,2,34,1,0
106,3,16,1,0
106,4,25,1,0
107,2,34,1,0
107,3,16,1,0
107,4,25,1,0
108,2,34,1,0
108,3,16,1,0
108,4,25,1,0
109,2,34,1,0
109,3,16,1,0
109,4,25,1,0
110,2,34,1,0
110,3,16,1,0
110,4,25,1,0
111,2,34,1,0
111,3,16,1,0
111,4,25,1,0
112,2,34,1,0
112,3,16,1,0
112,4,25,1,0
113,2,35,1,0
113,3,16,1,0
113,3,37,2,0
113,4,25,2,0
113,4,39,1,0
114,2,35,1,0
114,3,16,1,0
114,4,25,1,0
115,2,35,1,0
115,3,16,1,0
115,4,25,1,0
117,2,35,1,0
117,3,16,1,0
117,4,25,1,0
118,2,35,1,0
118,3,16,1,0
118,4,25,1,0
119,2,35,1,0
119,3,16,1,0
119,4,25,1,0
120,2,35,1,0
120,3,16,1,0
120,4,25,1,0
121,2,35,1,0
121,3,16,1,0
121,4,25,1,0
122,2,35,1,0
122,3,16,1,0
122,4,25,1,0
123,2,35,1,0
123,3,16,1,0
123,4,25,1,0
124,2,35,1,0
124,3,16,1,0
124,4,25,1,0
125,2,35,1,0
125,3,16,1,0
125,4,25,1,0
127,2,31,1,0
127,3,16,1,0
127,4,21,3,0
127,4,23,4,0
127,4,25,5,0
127,4,27,1,0
127,4,30,2,0
128,2,31,1,0
128,3,16,1,0
128,4,21,3,0
128,4,23,4,0
128,4,25,5,0
128,4,27,1,0
128,4,30,2,0
129,2,31,1,0
129,3,16,1,0
129,4,21,3,0
129,4,23,4,0
129,4,25,5,0
129,4,27,1,0
129,4,30,2,0
130,2,11,1,0
130,3,16,1,0
130,4,21,3,0
130,4,23,4,0
130,4,25,5,0
130,4,27,1,0
130,4,30,2,0
131,2,11,1,0
131,3,16,1,0
131,4,21,3,0
131,4,23,4,0
131,4,25,5,0
131,4,27,1,0
131,4,30,2,0
131,6,17,2,0
131,6,36,1,0
132,2,11,1,0
132,3,46,1,0
132,4,21,3,0
132,4,23,4,0
132,4,25,5,0
132,4,27,1,0
132,4,30,2,0
133,3,46,1,0
135,2,11,1,0
135,3,16,1,0
135,4,21,3,0
135,4,23,4,0
135,4,25,5,0
135,4,27,1,0
135,4,30,2,0
135,6,33,1,0
136,2,11,1,0
136,3,16,1,0
136,4,21,2,0
136,4,23,3,0
136,4,25,4,0
136,4,27,1,0
138,2,11,1,0
138,3,16,1,0
138,4,21,3,0
138,4,23,4,0
138,4,25,5,0
138,4,27,1,0
138,4,30,2,0
139,2,11,1,0
139,3,16,1,0
139,4,21,2,0
139,4,23,3,0
139,4,25,4,0
139,4,27,1,0
140,2,11,1,0
140,3,46,1,0
140,4,21,3,0
140,4,23,4,0
140,4,25,5,0
140,4,27,1,0
140,4,30,2,0
141,2,11,1,0
141,3,46,1,0
141,4,21,3,0
141,4,25,4,0
141,4,27,1,0
141,4,30,2,0
142,2,11,1,0
142,3,46,1,0
142,4,21,3,0
142,4,25,4,0
142,4,27,1,0
142,4,30,2,0
143,2,11,1,0
144,2,11,1,0
144,3,16,1,0
144,4,21,3,0
144,4,25,4,0
144,4,27,1,0
144,4,30,2,0
145,2,11,1,0
145,4,21,1,0
145,4,25,3,0
145,4,27,2,0
145,6,16,1,0
146,2,54,1,0
146,4,21,1,0
147,2,11,1,0
147,4,21,3,0
147,4,25,4,0
147,4,27,1,0
147,4,30,2,0
148,2,31,1,0
148,3,46,1,0
148,4,21,3,0
148,4,23,4,0
148,4,25,5,0
148,4,27,1,0
148,4,30,2,0
149,2,11,1,0
149,4,21,3,0
149,4,25,4,0
149,4,27,1,0
149,4,30,2,0
150,2,11,1,0
150,4,21,2,0
150,4,25,1,0
150,6,16,1,0
151,2,11,1,0
151,4,21,2,0
151,4,25,1,0
151,6,16,1,0
153,2,11,1,0
153,3,16,1,0
153,4,21,2,0
153,4,25,3,0
153,4,27,1,0
154,2,11,1,0
154,3,16,1,0
154,4,21,2,0
154,4,25,3,0
154,4,27,1,0
155,2,11,1,0
155,3,16,1,0
155,4,21,3,0
155,4,25,4,0
155,4,27,1,0
155,4,30,2,0
156,2,11,1,0
156,3,16,1,0
156,4,21,2,0
156,4,25,3,0
156,4,27,1,0
158,2,11,1,0
158,4,21,2,0
158,4,25,3,0
158,4,27,1,0
159,2,11,1,0
160,2,11,1,0
160,3,16,1,0
160,4,21,2,0
160,4,25,3,0
160,4,27,1,0
161,2,11,1,0
161,3,16,1,0
161,4,21,2,0
161,4,25,3,0
161,4,27,1,0
162,2,11,1,0
162,3,16,1,0
162,4,21,2,0
162,4,25,3,0
162,4,27,1,0
163,2,11,1,0
163,3,16,1,0
163,4,21,3,0
163,4,27,1,0
163,4,30,2,0
163,6,17,2,0
163,6,36,1,0
164,2,11,1,0
164,3,16,1,0
164,4,21,2,0
164,4,25,3,0
164,4,27,1,0
165,2,11,1,0
165,3,16,1,0
165,4,21,2,0
165,4,25,3,0
165,4,27,1,0
166,2,11,1,0
166,3,16,1,0
166,4,21,2,0
166,4,25,3,0
166,4,27,1,0
168,2,11,1,0
168,3,16,1,0
168,4,21,3,0
168,4,25,2,0
168,4,27,1,0
169,2,11,1,0
169,3,16,1,0
169,4,21,2,0
169,4,25,3,0
169,4,27,1,0
171,2,11,1,0
171,3,57,1,0
171,4,21,3,0
171,4,23,4,0
171,4,25,5,0
171,4,27,1,0
171,4,30,2,0
173,2,11,1,0
173,3,16,1,0
173,4,21,2,0
173,4,25,3,0
173,4,27,1,0
174,2,11,1,0
174,3,16,1,0
174,4,21,2,0
174,4,25,3,0
174,4,27,1,0
175,2,11,1,0
175,3,46,1,0
176,2,11,1,0
176,3,16,1,0
176,4,21,2,0
176,4,25,3,0
176,4,27,1,0
